"surface","width_um","height_um","permission","orientations","margin_um","gap_um","minimum_side_um","enumerated","valid_distinct","after_quality","baseline","cap20","cap20_window20","cap20_novelty15","cap20_no_family_cap"
"doubleSheet","600000","300000","pagesAndSheet","vertical|vertical|horizontal|horizontal|horizontal|horizontal","15000","5000","20000","232","232","141","10","20","20","20","20"
"doubleSheet","600000","300000","pagesAndSheet","vertical|vertical|vertical|horizontal|horizontal|horizontal","15000","5000","20000","320","320","178","10","20","20","20","20"
"doubleSheet","600000","300000","pagesAndSheet","vertical|vertical|vertical|vertical|horizontal|horizontal","15000","5000","20000","230","230","142","10","20","20","20","20"
"doubleSheet","600000","300000","pagesAndSheet","vertical|vertical|vertical|vertical|vertical|horizontal","15000","5000","20000","121","121","76","10","20","20","20","20"
"doubleSheet","600000","300000","pagesAndSheet","vertical|vertical|vertical|vertical|vertical|vertical","15000","5000","20000","40","40","18","6","6","17","6","6"
"doubleSheet","600000","300000","pagesAndSheet","square|square|square|square|square|square","15000","5000","20000","4","4","4","4","4","4","4","4"
"doubleSheet","600000","240000","pagesOnly","horizontal","15000","5000","20000","4","4","4","2","2","2","2","2"
"doubleSheet","600000","240000","pagesOnly","vertical","15000","5000","20000","2","2","0","0","0","0","0","0"
"doubleSheet","600000","240000","pagesOnly","square","15000","5000","20000","2","2","2","2","2","2","2","2"
"doubleSheet","600000","240000","pagesOnly","horizontal|horizontal","15000","5000","20000","4","4","4","1","1","1","1","1"
"doubleSheet","600000","240000","pagesOnly","vertical|horizontal","15000","5000","20000","4","4","4","2","2","2","2","2"
"doubleSheet","600000","240000","pagesOnly","vertical|vertical","15000","5000","20000","1","1","1","1","1","1","1","1"
"doubleSheet","600000","240000","pagesOnly","square|square","15000","5000","20000","1","1","1","1","1","1","1","1"
"doubleSheet","600000","240000","pagesOnly","horizontal|horizontal|horizontal","15000","5000","20000","8","8","8","4","4","4","4","4"
"doubleSheet","600000","240000","pagesOnly","vertical|horizontal|horizontal","15000","5000","20000","20","20","18","10","10","12","10","10"
"doubleSheet","600000","240000","pagesOnly","vertical|vertical|horizontal","15000","5000","20000","20","20","8","2","2","8","2","2"
"doubleSheet","600000","240000","pagesOnly","vertical|vertical|vertical","15000","5000","20000","6","6","4","2","2","4","2","2"
"doubleSheet","600000","240000","pagesOnly","square|square|square","15000","5000","20000","4","4","4","4","4","4","4","4"
"doubleSheet","600000","240000","pagesOnly","horizontal|horizontal|horizontal|horizontal","15000","5000","20000","28","28","19","7","7","12","7","7"
"doubleSheet","600000","240000","pagesOnly","vertical|horizontal|horizontal|horizontal","15000","5000","20000","52","52","24","4","4","20","4","4"
"doubleSheet","600000","240000","pagesOnly","vertical|vertical|horizontal|horizontal","15000","5000","20000","64","64","44","10","16","20","16","16"
"doubleSheet","600000","240000","pagesOnly","vertical|vertical|vertical|horizontal","15000","5000","20000","52","52","40","10","20","20","20","20"
"doubleSheet","600000","240000","pagesOnly","vertical|vertical|vertical|vertical","15000","5000","20000","17","17","4","1","1","9","1","1"
"doubleSheet","600000","240000","pagesOnly","square|square|square|square","15000","5000","20000","8","8","7","7","7","8","7","7"
"doubleSheet","600000","240000","pagesOnly","horizontal|horizontal|horizontal|horizontal|horizontal","15000","5000","20000","24","24","18","10","10","16","10","10"
"doubleSheet","600000","240000","pagesOnly","vertical|horizontal|horizontal|horizontal|horizontal","15000","5000","20000","96","96","36","10","16","20","16","16"
"doubleSheet","600000","240000","pagesOnly","vertical|vertical|horizontal|horizontal|horizontal","15000","5000","20000","144","144","88","10","20","20","20","20"
"doubleSheet","600000","240000","pagesOnly","vertical|vertical|vertical|horizontal|horizontal","15000","5000","20000","132","132","40","10","12","20","12","12"
"doubleSheet","600000","240000","pagesOnly","vertical|vertical|vertical|vertical|horizontal","15000","5000","20000","82","82","36","10","18","20","18","18"
"doubleSheet","600000","240000","pagesOnly","vertical|vertical|vertical|vertical|vertical","15000","5000","20000","26","26","12","6","6","16","6","6"
